loan_id,date,customer_age,total_paid,total_due_today,balance,days_past_due,closing_balance,advance,balance_due_to_date,arrears,balance_due_status,payment,expected_payment,first_payment,first_expected_payment,account_status_l1,account_status_l2,return_date,sale_date,credit_check_done,payment_amount,adjustment_amount,prepayment_amount,deposit,weekly_rate,credit_expiry,next_invoice_date,discount,overpayment_amount,max_payment_date,initial_pay,total_paid_with_adjustments_15d
recQ8f0JfqJkay2V2,3/31/2025,467,27000,57399.0,30399.0,327,30399.0,0.0,-30399.0,30399.0,Arrears,0,0.0,0,0,Write Off,PAR 30,None,12/20/2023,Y LOAN,,,0,7999.0,950.0,5/8/2024,4/2/2025,0.0,0.0,5/1/2024,8949,27000
recOgdSH85bqJLuYN,3/31/2025,559,73739,67739.0,0.0,0,0.0,6000.0,6000.0,0.0,advance,0,0.0,0,0,Paid Off Loan,Paid Off,None,9/19/2023,Y LOAN,,,0,9499.0,1120.0,10/22/2024,4/1/2025,0.0,6000.0,9/8/2024,10619,73739
recm7htHCfU0Eqq2l,3/31/2025,39,20000,11149.0,33009.0,0,0.0,8851.0,8851.0,0.0,advance,0,0.0,0,0,Existing Active,Active,None,2/20/2025,Y LOAN,,,0,5689.0,910.0,6/5/2025,4/3/2025,0.0,0.0,7/23/2025,6599,20000
recqQgjrWbZw4Q1ly,3/31/2025,414,77999,86319.0,0.0,0,0.0,0.0,-8320.0,8320.0,Arrears,0,0.0,0,0,Paid Off Loan,Paid Off,None,2/11/2024,Y LOAN,,,0,12999.0,1410.0,12/29/2024,4/6/2025,8320.0,0.0,6/21/2024,14409,77999
recxfiMQxwR27tHgb,3/31/2025,451,29099,56339.0,27240.0,297,27240.0,0.0,-27240.0,27240.0,Arrears,0,0.0,0,0,Write Off,PAR 30,None,1/5/2024,Y LOAN,,,0,8499.0,920.0,6/7/2024,4/4/2025,0.0,0.0,9/4/2025,9419,29099
recAEBT9aVxZhQKaG,3/31/2025,94,19659,34859.0,73720.0,66,73720.0,0.0,-15200.0,15200.0,Arrears,0,0.0,0,0,Cancelled Returned in 3 mths,Return,2/16/2025,12/27/2024,Y LOAN,,,0,13299.0,1540.0,1/24/2025,4/4/2025,0.0,0.0,2/14/2025,14839,19659
recTSfDLv51AVLpyj,3/31/2025,549,27268,69879.0,42611.0,437,42611.0,0.0,-42611.0,42611.0,Arrears,0,0.0,0,0,Cancelled Returned past 3 mths,Return,3/20/2024,9/29/2023,Y LOAN,,,0,7999.0,1190.0,1/19/2024,4/4/2025,0.0,0.0,3/14/2024,9189,27268
recdA8J9BbSRsWRui,3/31/2025,47,21849,23439.0,73140.0,5,73140.0,0.0,-1590.0,1590.0,Arrears,0,0.0,0,0,Inactive 01-07,Inactive,None,2/12/2025,Y LOAN,,,0,12309.0,1590.0,3/26/2025,4/2/2025,0.0,0.0,8/30/2025,13899,21849
recT6cqPOgVWw0mb6,3/31/2025,166,13199,42599.0,68600.0,145,68600.0,0.0,-29400.0,29400.0,Arrears,0,0.0,0,0,First Month Default without inventory over 30,FMD,None,10/16/2024,Y LOAN,,,0,8999.0,1400.0,11/6/2024,4/2/2025,0.0,0.0,10/30/2024,10399,13199
rec9q53lf7WslqQgN,3/31/2025,26,16589,19519.0,76850.0,12,76850.0,0.0,-2930.0,2930.0,Arrears,0,0.0,0,0,First Month Default without inventory 08-14,PAR 7,None,3/5/2025,Y LOAN,,,0,13359.0,1540.0,3/19/2025,4/2/2025,0.0,0.0,9/15/2025,14899,16589
recA7UyrvN1hF7HhW,3/31/2025,103,17819,18699.0,33440.0,5,33440.0,0.0,-880.0,880.0,Arrears,0,0.0,0,0,Inactive 01-07,Inactive,None,12/18/2024,Y LOAN,,,0,5499.0,880.0,3/26/2025,4/2/2025,0.0,0.0,5/15/2025,6379,17819
